title,description,priority,tags
Damaged wall,"A case of damaged wall has emerged near Sector 5, disrupting daily activities.",low,"['infrastructure', 'environment']"
Waste dumped on street,There has been a persistent issue with waste dumped on street by the school gate. Residents are concerned.,low,"['environment', 'sanitation', 'garbage']"
Dirty public toilet,The area outside Building 14 is suffering due to dirty public toilet. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal in the market area. It has been ignored for days.,medium,['signal']
Sparking transformer,There has been a persistent issue with sparking transformer in the market area. Residents are concerned.,high,['electricity']
Contaminated water,"A case of contaminated water has emerged outside Building 14, disrupting daily activities.",low,['water']
School without drinking water,There has been a persistent issue with school without drinking water by the school gate. Residents are concerned.,low,"['infrastructure', 'education']"
Dirty public toilet,"A case of dirty public toilet has emerged outside the railway station, disrupting daily activities.",low,['health']
Open sewage,"A case of open sewage has emerged in the market area, disrupting daily activities.",high,['sanitation']
Flickering light,The area by the school gate is suffering due to flickering light. Immediate attention is needed.,medium,['streetlight']
Uncollected garbage,There has been a persistent issue with uncollected garbage outside the railway station. Residents are concerned.,medium,"['environment', 'garbage']"
Sparking transformer,Citizens have complained about sparking transformer at the bus depot. It has been ignored for days.,high,['electricity']
Frequent voltage drops,There has been a persistent issue with frequent voltage drops behind the hospital. Residents are concerned.,low,['electricity']
Damaged bus stop,The area in the residential colony is suffering due to damaged bus stop. Immediate attention is needed.,low,"['transport', 'infrastructure']"
Open sewage,Citizens have complained about open sewage at the bus depot. It has been ignored for days.,high,['sanitation']
Broken classroom windows,"Broken classroom windows reported near Sector 5, causing inconvenience and safety concerns.",low,"['infrastructure', 'health', 'education']"
Frequent theft reports,Authorities are yet to act on the frequent theft reports problem outside the railway station.,low,['public safety']
Sparking transformer,There has been a persistent issue with sparking transformer in the market area. Residents are concerned.,high,"['electricity', 'infrastructure', 'public safety']"
Damaged bus stop,The area outside the railway station is suffering due to damaged bus stop. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
No water supply,The area behind the hospital is suffering due to no water supply. Immediate attention is needed.,low,['water']
Damaged bus stop,Authorities are yet to act on the damaged bus stop problem outside the railway station.,low,['transport']
Tree fallen on road,"Tree fallen on road reported at the bus depot, causing inconvenience and safety concerns.",low,['environment']
Malfunctioning traffic signal,"Malfunctioning traffic signal reported near the lake, causing inconvenience and safety concerns.",medium,['signal']
Frequent theft reports,"A case of frequent theft reports has emerged at the bus depot, disrupting daily activities.",low,['public safety']
Missing bus route board,Citizens have complained about missing bus route board at the community center. It has been ignored for days.,low,"['transport', 'road']"
Dark alley,The area outside Building 14 is suffering due to dark alley. Immediate attention is needed.,high,"['infrastructure', 'public safety']"
Damaged bus stop,"Damaged bus stop reported at the bus depot, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Fallen signboard,There has been a persistent issue with fallen signboard near the lake. Residents are concerned.,low,"['infrastructure', 'public safety']"
Street in darkness,"Street in darkness reported in the residential colony, causing inconvenience and safety concerns.",high,"['infrastructure', 'public safety', 'streetlight']"
Dark alley,There has been a persistent issue with dark alley at the community center. Residents are concerned.,high,['public safety']
Flickering light,There has been a persistent issue with flickering light at the bus depot. Residents are concerned.,medium,['streetlight']
Malfunctioning traffic signal,The area by the school gate is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,"['transport', 'signal']"
Non-functional streetlight,There has been a persistent issue with non-functional streetlight in the residential colony. Residents are concerned.,medium,['streetlight']
Mosquito breeding site,There has been a persistent issue with mosquito breeding site outside Building 14. Residents are concerned.,low,"['health', 'environment']"
Pipe leakage,There has been a persistent issue with pipe leakage by the school gate. Residents are concerned.,low,"['health', 'sanitation', 'water']"
